iter	Logloss
0	0.6459948556
1	0.6028952076
2	0.5624703076
3	0.52423163
4	0.4859904002
5	0.4543135031
6	0.4254637935
7	0.4013149639
8	0.3712823571
9	0.3490594276
10	0.327786867
11	0.3038382681
12	0.2848183537
13	0.2654817536
14	0.2513004356
15	0.2364434772
16	0.2243130602
17	0.2111630986
18	0.1993596431
19	0.1887095687
20	0.1772266694
21	0.1673801241
22	0.1578214793
23	0.1498032533
24	0.1402934501
25	0.1312336842
26	0.1248848419
27	0.1167914744
28	0.1107599835
29	0.1043149257
30	0.09952736242
31	0.09428879427
32	0.08948198051
33	0.08458993754
34	0.08055632811
35	0.0765365325
36	0.07161344993
37	0.06772442071
38	0.06544617168
39	0.06250197819
40	0.05962228942
41	0.05717639782
42	0.05433325545
43	0.05193819159
44	0.04963731818
45	0.04751826639
46	0.04615484926
47	0.04384631598
48	0.04200361613
49	0.0402359924
50	0.03846340295
51	0.03699617494
52	0.03532108603
53	0.03390324347
54	0.03227970833
55	0.03093210359
56	0.0297714452
57	0.02849525432
58	0.02748460565
59	0.02656328056
60	0.02540946336
61	0.02478102459
62	0.02400689736
63	0.02308370061
64	0.0223132258
65	0.02171790172
66	0.02123867554
67	0.02069210097
68	0.02021664744
69	0.01974704085
70	0.01915057889
71	0.01855878688
72	0.01802612814
73	0.0175459778
74	0.01714100188
75	0.01663563752
76	0.01620042524
77	0.01578537259
78	0.01553413523
79	0.01514375285
80	0.01481411009
81	0.01447256298
82	0.01432396397
83	0.0139884271
84	0.01393848056
85	0.01355259474
86	0.01313306193
87	0.01291343069
88	0.0127246195
89	0.01254512819
90	0.01230650432
91	0.01205620545
92	0.01179126485
93	0.01157823964
94	0.01139210743
95	0.01111904247
96	0.01089977847
97	0.01071107136
98	0.0105234316
99	0.01043034099
100	0.010295458
101	0.01010384722
102	0.00996126671
103	0.009779344145
104	0.009613818317
105	0.009447241844
106	0.009262678811
107	0.009210027776
108	0.009170259271
109	0.009136437734
110	0.009011330598
111	0.008909441369
112	0.008775920849
113	0.008592075725
114	0.008485215472
115	0.00842264809
116	0.008259042158
117	0.008134924087
118	0.008045226897
119	0.007972422678
120	0.007897789915
121	0.007837479725
122	0.007758586827
123	0.007713685867
124	0.007577487342
125	0.007453659434
126	0.007401984324
127	0.007302476406
128	0.007210174891
129	0.007116375482
130	0.007063424372
